Song,Genre,Main Creature,Summary,Prompt
Dancing in the tide,Future Bass and Bubblegum Pop Fusion,mermaid DJ,"This track is a high-energy underwater anthem that captures the magic of a bioluminescent secret society. It centers on the annual ""Coral Rave"" deep in the ocean, where the crushing pressure of the deep sea is transformed into a rhythmic, liquid pulse. The story follows the party-goers—mermaids, sea turtles, and glowing jellyfish—as they lose themselves in the ""wash"" of the current","Song Topic : Mermaid Coral Rave
Story Idea: Deep in the ocean, a group of mermaids throws an annual bioluminescent dance party under the sea, inviting all the fish and sea turtles.
Music Genre Prompt: Uplifting Future Bass and Bubblegum Pop fusion, featuring bright synth plucks and a water-splash sound effect drop.
Cover Art Prompt: Whimsical cartoon style. A mermaid with neon pink hair DJing at a turntable made of giant seashells, surrounded by glowing jellyfish and dancing sea turtles. Deep blue and neon accents."
Kings Of The Vertical Drop,Theatrical Pop-Punk,Elves on skateboards,"This track is a high-octane rebellion against immortality. It tells the story of woodland elves trading their harps and silk robes for enchanted oak skateboards, staging a chaotic tournament through the forest canopy just to feel something more than ""divine boredom.""","Song Topic : Elven Skateboard Derby
Story Idea: Bored of their elegant, slow-paced lives, a group of woodland elves builds skateboards out of enchanted oak trees and holds a tournament through the forest canopy.
Music Genre Prompt: Sunny Pop-Punk with fast-paced drums and a catchy, energetic electric guitar riff.
Cover Art Prompt: Street-art cartoon style. An elf with pointy ears wearing a backward cap, doing a kickflip on a wooden skateboard across a giant tree branch. Bright, high-contrast colors."
Four By Four,Funk-infused Nu-Disco,Centaur in a Disco,it’s a celebration of finding your rhythm—literally fitting four quad skates to four hooves—and sparking a movement that brings the whole mythical world together on the dance floor.,"Song Topic : Centaur Roller Disco
Story Idea: A centaur discovers retro roller skates and fits them onto all four hooves, starting a massive roller-disco trend across the mythical plains.
Music Genre Prompt: 70s Nu-Disco infused with French House, featuring a funky slap-bass line and glittering synth pads.
Cover Art Prompt: Retro 80s cartoon style. A cool centaur wearing quad roller skates and a sparkling glitter jacket, grooving under a giant disco ball in a neon-lit rink."
Total Rest,Dream-Pop and Synthwave,witch resting on a cozy cloud mattress,This track tells the story of a clever witch who harvests low-hanging summer clouds to weave them into the softest mattresses ever made,"Song Topic : The Witch’s Cloud Mattress
Story Idea: A clever witch captures fluffy, low-hanging summer clouds and weaves them into the comfiest mattresses ever made, bringing sweet dreams to the whole town.
Music Genre Prompt: Dream-Pop mixed with Synthwave, featuring lush, airy vocals and a soft, rhythmic retro beat.
Cover Art Prompt: Soft, watercolor cartoon style. A witch sleeping peacefully on a literal, smiley-faced white cloud floating in a purple starry night sky."
Lungs Full Of Rhythm,blend of Folktronica and Acoustic Trap,dragon and an elf,"the story of an unlikely fantasy duo: a tiny green dragon who lacks the ability to breathe fire but possesses a ""heart of 808s,"" and a custom steel-string-playing elf. Together, they've traded the mud of the caverns for the luxury of the city, proving that rhythm can be just as powerful as fire","Song Topic : Dragon and Elf Jam Session
Story Idea: A tiny dragon who can't breathe fire but can beatbox perfectly teams up with an elf acoustic guitarist to form the ultimate street-performing duo.
Music Genre Prompt: Acoustic Folk-Hop (Folk guitar paired with Hip-Hop/Beatbox rhythms).
Cover Art Prompt: Cute chibi cartoon style. A tiny, green baby dragon sitting on a stone stool beatboxing into a microphone next to an elf playing a wooden acoustic guitar."
Frozen Magic,Kawaii Future Core,An entrepreneurial mermaid,"a high-energy Kawaii Future Core track that tells the story of an underwater entrepreneur bringing a taste of winter to the deep sea. The lyrics follow a mermaid using ""magic ice"" carved from deep-sea pressure to serve the reef creatures. It captures that sweet, nostalgic feeling of an ice cream truck arrival, but reimagined in a surreal, glowing ocean trenc","Song Topic : Mermaid Ice Cream Truck
Story Idea: An entrepreneurial mermaid uses magic ice that doesn't melt underwater to start a mobile ice cream business for reef creatures.
Music Genre Prompt: Kawaii Future Core, featuring fast, chirpy chiptune sounds and a bright, bouncy melody.
Cover Art Prompt: Bright anime-cartoon style. A smiling mermaid handing a swirling, multi-colored ice cream cone out of the window of a submarine shaped like an ice cream truck. It should clearly show that the truck has some text like ""UNDERWATER ICE CREAM"""
Can You Feel The Heat?,Funky House / Nu-Disco,ogre,"It captures the tension of fairies and elves sneaking through the mossy dark before exploding into a vibrant, neon celebration. The lyrics follow the ogre’s emotional shift—starting solitary and ""heavy as stone,"" then being swept up in the colors and heat of the party until he finally cracks a smile","Song Topic : The Grumpy Ogre's Birthday Surprise
Story Idea: A group of cheerful fairies and elves sneak into a grumpy ogre's swamp house to throw him a massive surprise party, instantly melting his heart.
Music Genre Prompt: High-energy Eurodance with a driving 4-on-the-floor beat and a happy, anthemic synth melody.
Cover Art Prompt: Playful, expressive cartoon style. A huge green ogre looking shocked and wearing a tiny, colorful party hat as confetti explodes around him, thrown by tiny flying fairies."
Everyone is standing up,Symphonic Power Pop,phoenix,"an uplifting symphonic power pop anthem that tells the story of a young phoenix finding their voice at a magical talent show. Moving away from the traditional fire and ash associated with their kind, the protagonist discovers a ""right note"" so pure and joyful that it causes a lush garden of lilacs and green leaves to bloom instantly across the arena. It’s a beautiful metaphor for growth and connection, shifting from a history of burning things down to a future of creation and collective wonder","Song Topic : Phoenix Talent Show
Story Idea: A young phoenix entering a magical talent show decides to sing a song so joyful that it makes all the flowers in the arena bloom instantly.
Music Genre Prompt: Uplifting Symphonic Power Pop, featuring a grand orchestral string section backing a bright, powerful female vocal pop melody.
Cover Art Prompt: Saturday-morning cartoon style. A bright golden-orange phoenix holding a microphone on a stage, singing with visible musical notes turning into flowers around it."
Silver Dust Rising,8-Bit Chiptune mixed with Electro-Pop,pixie,A swarm of mischievous pixies sneaks into a human video game arcade after hours and accidentally powers up all the machines with their magic pixie dust.,"Song Topic : Pixie Arcade Party
Story Idea: A swarm of mischievous pixies sneaks into a human video game arcade after hours and accidentally powers up all the machines with their magic pixie dust.
Music Genre Prompt: 8-Bit Chiptune mixed with Electro-Pop, featuring retro gaming sound effects and a driving dance beat.
Cover Art Prompt: Vibrant pixel-art cartoon style. Glowing, winged pixies flying around neon-lit arcade cabinets, playing games and laughing."
Ten Minutes or Mine,Surf Rock,centaur pizza guy,"""Ten Minutes or Mine"" tells the story of the valley's legendary centaur delivery man. Fueled by high-speed gallops and a four-hoof engine, he tears through canyons and dirt paths to ensure every pizza arrives burning hot. It’s a high-octane tribute to his mythical speed—if he doesn't hit that ten-minute mark, the pizza's his","Song Topic : Centaur Pizza Delivery
Story Idea: The fastest centaur in the valley starts a delivery service, guaranteeing hot, fresh pizza to any creature within a fifty-mile radius in under ten minutes.
Music Genre Prompt: Fast-paced, sunny Surf Rock with twangy electric guitars and a driving, energetic drum beat.
Cover Art Prompt: Comic-book cartoon style. A dynamic action shot of a centaur dashing down a dirt path, balancing five giant pizza boxes on his hand, leaving a cloud of dust behind him."
Across The Prism,Progressive House,pegasus,A young pegasus who is afraid of heights overcomes their fear during a friendly race through a beautiful obstacle course made of rainbows.,"Song Topic : Pegasus Sky Race
Story Idea: A young pegasus who is afraid of heights overcomes their fear during a friendly race through a beautiful obstacle course made of rainbows.
Music Genre Prompt: Progressive House with soaring, euphoric synth leads and an energetic, uplifting buildup and drop.
Cover Art Prompt: Clean, modern vector cartoon style. A majestic white pegasus with spread wings flying side-by-side with a rainbow trail across a bright blue sky filled with fluffy clouds."
Sixteen Squares,Celtic Glitch Hop,Elf DJ in a forest festival,"the Elf DJ Festival to life with ""Sixteen Squares,"" a fusion of Celtic folk and heavy glitch hop. The track blends bit-crushed flutes with deep electronic drops to tell the story of a forest elf trading their harp for a 4x4 launchpad. A launchpad is a digital MIDI controller featuring a grid of buttons (usually an 8x8 or 4x4 square) used to trigger loops, samples, and effects in real-time. In our story, it’s the ""instrument"" the elf uses to replace their harp—instead of plucking strings, they press those glowing squares to drop heavy glitch beats and Celtic samples. It's essentially the centerpiece of a modern electronic performance.","Song Topic : The Elf DJ Festival
Story Idea: An elf trades their traditional harp for a digital launchpad, hosting the biggest electronic music festival the ancient forest has ever seen.
Music Genre Prompt: Glitch Hop mixed with Celtic Folk (combining bagpipes/fiddles with heavy, glitchy electronic bass drops).
Cover Art Prompt: Fantasy festival cartoon style. An elf with glowing neon patterns on their clothes standing behind a high-tech DJ booth made of glowing tree roots, facing a massive crowd of cheering forest creatures."
We Move As One , Tropical House,mermaids synchronized in swimming,"a sun-drenched Tropical House anthem that tells the story of a mermaid pod welcoming a cruise ship with a flawlessly synchronized underwater routine. Musically, it’s built on a foundation of bright steel drums and rhythmic marimba loops, driven by a punchy house bassline that keeps the energy high but laid-back","Song Topic : Mermaid Synchronized Swimming
Story Idea: A school of mermaids choreographs a complex, synchronized routine to welcome a traveling cruise ship of friendly land-dwellers.
Music Genre Prompt: Sparkling Tropical House with steel drums, a warm bassline, and a laid-back, joyful rhythm.
Cover Art Prompt: Vintage travel poster cartoon style. A birds-eye view of several mermaids swimming in a perfect, star-shaped formation in crystal-clear turquoise water."
A Roof Of Quilts,Pastoral Indie Folk,a dragon who is feeling cold,"a heartwarming winter tale of a massive mountain dragon who finds himself shivering as the frost sets in. Instead of fear, the local villagers respond with kindness, bringing every quilt and pillow they own to his cave. Together, they build a legendary blanket fort, where the dragon rests his head on downy pillows and the people find warmth tucked beneath his leather wings—a beautiful story of mutual protection and shared comfort against the cold.","Song Topic : The Dragon’s Blanket Fort
Story Idea: A giant dragon gets cold in the winter and invites the entire village to help him build the largest blanket and pillow fort in history inside his cave.
Music Genre Prompt: Warm, cozy Indie Folk with fingerpicked acoustic guitar, soft whistling, and a gentle tambourine.
Cover Art Prompt: Adorable, soft-shaded cartoon style. A massive, smiling blue dragon curled up inside a giant fort made of colorful patchwork quilts and pillows, surrounded by happy villagers."
"Finally, I Will Say It",Bright Ska-Punk / Tropical Surf Rock Fusion,A mermaid with ideas and wit,"This high-energy track centers on a pink-dreadlocked mermaid’s quirky journey toward self-gratitude. Musically, it’s a chaotic and sunny blend of rapid-fire conversational verses, a walking bassline, and punchy brass sections. The story follows her distractions—missing the bus because she was ""too busy thinking""—leading to a dramatic realization in front of a mirror (her silver frying pan). It captures the relentless, danceable spirit of ska with a heartfelt, introspective core","The Concept: A meticulous but slow-working forest elf who spends days designing the perfect treehouse, completely missing the grand seasonal festival, only to realize self-validation is the best prize.
​Song Fusion Prompt: > ""A folk-pop track driven by upbeat banjo, clapping rhythms, and woodland flute melodies. The song captures the frantic energy of an elf trying to plan too many things at once, missing the final woodland caravan. It shifts into a warm, grounded, and cozy acoustic finale about finding peace in isolation and being your own biggest fan.""
​Cover Art Prompt: > ""Modern whimsical cartoon illustration, cell-shaded with warm tones. A cute elf with large pointed ears and a pencil tucked behind them stands in a cozy treehouse workshop filled with rolled-up blueprints. They are looking into a dusty, cracked mirror on the wall, giving themselves a proud thumbs-up. Outside the window, the taillights of a wooden fantasy carriage are fading into the autumn woods."""
Feel The Thunder,Kawaii Metal/J-Pop,witches flying,"""Witch Rush"" tells the story of the Witch’s Flying Broom Regatta, but this isn't a race to the finish line—it's a high-stakes aerial dance. The lyrics follow a group of teenage witches as they ""snap the straw"" and ""break the law"" of gravity, performing death-defying loop-de-loops and snap turns. The song captures the physical sensation of flight—the wind in their teeth and the static in their hair—while shifting into a ""weightless"" bridge that mimics the moment of suspension at the top of a stunt. It’s an anthem about creative rebellion and the sheer adrenaline of proving that magic is best served upside down.","Song Topic : Witch’s Flying Broom Regatta
Story Idea: Instead of racing for speed, a group of teenage witches holds a competition to see who can do the most creative, loop-de-loop aerial acrobatics on their brooms.
Music Genre Prompt: High-energy J-Pop/Rock with fast, intricate basslines, bright piano melodies, and enthusiastic backing vocals.
Cover Art Prompt: Dynamic anime cartoon style. A witch hanging upside down from her flying broomstick with a giant grin, high up in the sky, leaving a trail of sparkling yellow stardust behind her."
"We Loud, We Proud",Hip-Hop mixed with Funk,gnome party,story of a garden gnome community discovering a vintage human microphone buried beneath a massive oak tre,"Song Topic : The Gnome Karaoke Night
Story Idea: A community of garden gnomes unearths an old human microphone and hosts a loud, incredibly joyful karaoke night under the roots of a giant oak tree.
Music Genre Prompt: Funky, rhythmic Hip-Hop mixed with Funk, featuring a groovy bassline and funny, rhythmic rhyming vocals.
Cover Art Prompt: Whimsical, detailed cartoon style. A tiny gnome with a long white beard and a red pointy hat singing passionately into a giant microphone, surrounded by cheering, clapping toadstools and gnomes."
"Never Breaking, Always Rising",orchestral pop,"Griffin playing, wizard watching","The song tracks the griffin's transition from a powerful ""beak of iron"" to a curious creature batting at translucent spheres and leaping over ""walls of light."" It concludes with a serene image of the great predator drifting into a peaceful sleep amongst the ""floating islands"" of soap as the sun set","Song Topic : The Griffin’s Great Bubble Chase
Story Idea: A majestic griffin acts exactly like a playful kitten when an elf wizard accidentally casts a spell that fills the entire valley with giant, unbreakable soap bubbles.
Music Genre Prompt: Bouncy, cinematic Orchestral Pop with whimsical woodwinds, pizzicato strings, and a joyful, marching snare drum.
Cover Art Prompt: Lighthearted cartoon style. A half-lion, half-eagle griffin playfully pouncing through the air trying to pop a massive, iridescent floating bubble with its front paw"
